Id_vuelo,Aircompany,Origen,Destino,Distancia,avion,consumo_kg,duracion
Mol_PaBa_10747,MoldaviAir,París,Bali,11980,Boeing 747,130260.936,818
Pam_BaMe_11320,PamPangea,Bali,Melbourne,2779,Airbus A320,7254.301599999999,221
Pam_NuGi_11380,PamPangea,Nueva York,Ginebra,6206,Airbus A380,75328.428,433
Tab_LoRo_11320,TabarAir,Los Angeles,Roma,10077,Airbus A320,28409.400864,850
Tab_GiLo_10747,TabarAir,Ginebra,Londres,739,Boeing 747,8271.627,69
Air_PaCa_10747,Airnar,París,Cádiz,1447,Boeing 747,15733.5204,116
Air_GiCa_10747,Airnar,Ginebra,Cádiz,1725,Boeing 747,20043.465,135
Mol_CaBa_11380,MoldaviAir,Cádiz,Bali,12798,Airbus A380,150903.7776,873
Mol_CaMe_11380,MoldaviAir,Cádiz,Melbourne,20029,Airbus A380,248020.549088,1535
Air_BaCi_10737,Airnar,Bali,Cincinnati,15011,Boeing 737,41350.02112800001,1340
Tab_NuRo_11320,TabarAir,Nueva York,Roma,6877,Airbus A320,17951.7208,618
Air_BaGi_10737,Airnar,Bali,Ginebra,12383,Boeing 737,31607.26077600001,1140
Fly_BaRo_10747,FlyQ,Bali,Roma,12738,Boeing 747,141218.5632,1049
Fly_RoBa_10737,FlyQ,Roma,Barcelona,859,Boeing 737,2129.117400000001,85
Mol_CiPa_11380,MoldaviAir,Cincinnati,París,6370,Airbus A380,78055.432,444
Air_GiLo_10737,Airnar,Ginebra,Los Angeles,9103,Boeing 737,23889.9132,711
Air_CiPa_11320,Airnar,Cincinnati,París,6370,Airbus A320,18291.0728,581
Pam_GiMe_10737,PamPangea,Ginebra,Melbourne,16674,Boeing 737,44666.84476800001,1466
Mol_BaPa_10747,MoldaviAir,Bali,París,11980,Boeing 747,128983.868,818
Pam_LoPa_10737,PamPangea,Londres,París,344,Boeing 737,886.0752000000001,46
Fly_CiNu_11380,FlyQ,Cincinnati,Nueva York,911,Airbus A380,11163.0296,80
Fly_CiGi_11320,FlyQ,Cincinnati,Ginebra,6969,Airbus A320,19283.390256,624
Tab_LoRo_11320,TabarAir,Londres,Roma,1433,Airbus A320,3812.639799999999,123
Mol_CiLo_10737,MoldaviAir,Cincinnati,Londres,6284,Boeing 737,16491.7296,497
Mol_BaMe_10747,MoldaviAir,Bali,Melbourne,2779,Boeing 747,29624.14,205
Fly_CiBa_10747,FlyQ,Cincinnati,Bali,15011,Boeing 747,179731.386432,1200
Fly_RoCi_10747,FlyQ,Roma,Cincinnati,7480,Boeing 747,79736.8,518
Mol_PaBa_10747,MoldaviAir,París,Bali,11980,Boeing 747,134092.14,818
Mol_MeCi_10747,MoldaviAir,Melbourne,Cincinnati,15262,Boeing 747,184428.694112,1217
Fly_BaBa_11380,FlyQ,Barcelona,Bali,13058,Airbus A380,171117.464128,1070
Air_PaCa_10747,Airnar,París,Cádiz,1447,Boeing 747,16504.7714,116
Mol_CiMe_10747,MoldaviAir,Cincinnati,Melbourne,15262,Boeing 747,184428.694112,1217
Tab_LoCi_10747,TabarAir,Londres,Cincinnati,6284,Boeing 747,73016.30960000001,438
Tab_LoCi_11320,TabarAir,Londres,Cincinnati,6284,Airbus A320,17716.053888,575
Air_BaLo_11380,Airnar,Bali,Los Angeles,12845,Airbus A380,163337.02,876
Pam_MePa_10747,PamPangea,Melbourne,París,16925,Boeing 747,193266.4396,1328
Pam_NuLo_10737,PamPangea,Nueva York,Londres,5566,Boeing 737,14336.9028,442
Air_LoPa_10737,Airnar,Los Angeles,París,9099,Boeing 737,23658.3099,711
Mol_PaLo_10737,MoldaviAir,París,Londres,344,Boeing 737,911.1528000000002,46
Air_LoCi_10747,Airnar,Los Angeles,Cincinnati,3073,Boeing 747,32758.18,224
Mol_LoCa_11320,MoldaviAir,Londres,Cádiz,1716,Airbus A320,4737.876,144
Air_CaGi_10747,Airnar,Cádiz,Ginebra,1725,Boeing 747,18572.385,135
Pam_GiPa_10747,PamPangea,Ginebra,París,411,Boeing 747,4775.5734,47
Pam_NuLo_11380,PamPangea,Nueva York,Londres,5566,Airbus A380,70777.25600000001,391
Mol_BaLo_11380,MoldaviAir,Bali,Londres,12553,Airbus A380,152368.314,856
Air_BaPa_10747,Airnar,Bali,París,11980,Boeing 747,130260.936,818
Tab_CiRo_11320,TabarAir,Cincinnati,Roma,7480,Airbus A320,19525.792,662
Pam_NuPa_10747,PamPangea,Nueva York,París,5835,Boeing 747,62823.111,409
Pam_MePa_10737,PamPangea,Melbourne,París,16925,Boeing 737,44483.7744,1485
Fly_BaRo_10747,FlyQ,Bali,Roma,12738,Boeing 747,141218.5632,1049
Air_LoPa_10737,Airnar,Los Angeles,París,9099,Boeing 737,23437.2042,711
Fly_BaRo_10737,FlyQ,Bali,Roma,12738,Boeing 737,33479.13254400001,1167
Pam_GiLo_10737,PamPangea,Ginebra,Londres,739,Boeing 737,1903.5162,76
Air_PaCi_11320,Airnar,París,Cincinnati,6370,Airbus A320,17792.22536,581
Fly_BaBa_11380,FlyQ,Bali,Barcelona,13058,Airbus A380,169547.579136,1070
Tab_CiRo_11320,TabarAir,Cincinnati,Roma,7480,Airbus A320,21087.85536,662
Fly_BaCi_10747,FlyQ,Bali,Cincinnati,15011,Boeing 747,181395.565936,1200
Tab_GiCi_10747,TabarAir,Ginebra,Cincinnati,6969,Boeing 747,75775.33080000001,484
Fly_CiNu_11320,FlyQ,Cincinnati,Nueva York,911,Airbus A320,2446.6727,86
Pam_LoPa_10747,PamPangea,Londres,París,344,Boeing 747,3740.3808,42
Tab_GiNu_10737,TabarAir,Ginebra,Nueva York,6206,Boeing 737,15532.9974,491
Mol_PaMe_11380,MoldaviAir,París,Melbourne,16925,Airbus A380,207548.7024,1328
Pam_MeGi_11380,PamPangea,Melbourne,Ginebra,16674,Airbus A380,220507.64736,1311
Mol_PaCi_11380,MoldaviAir,París,Cincinnati,6370,Airbus A380,79528.176,444
Pam_NuGi_11380,PamPangea,Nueva York,Ginebra,6206,Airbus A380,74611.0144,433
Tab_LoGi_11380,TabarAir,Londres,Ginebra,739,Airbus A380,8799.1252,69
Air_CaGi_11320,Airnar,Cádiz,Ginebra,1725,Airbus A320,4589.535,145
Pam_LoGi_10737,PamPangea,Londres,Ginebra,739,Boeing 737,1867.6008,76
Air_CaLo_11380,Airnar,Cádiz,Los Angeles,9373,Airbus A380,112685.9552,644
Air_PaGi_10737,Airnar,París,Ginebra,411,Boeing 737,1018.7046,51
Mol_CaPa_11320,MoldaviAir,Cádiz,París,1447,Airbus A320,3849.8882,124
Fly_GiCi_11380,FlyQ,Ginebra,Cincinnati,6969,Airbus A380,87006.5712,484
Tab_RoNu_11380,TabarAir,Roma,Nueva York,6877,Airbus A380,86652.95080000002,478
Tab_CiLo_11380,TabarAir,Cincinnati,Los Angeles,3073,Airbus A380,36234.3576,224
Tab_NuLo_10747,TabarAir,Nueva York,Los Angeles,3944,Boeing 747,42463.4704,282
Pam_MePa_10737,PamPangea,Melbourne,París,16925,Boeing 737,44911.503,1485
Fly_CiGi_11320,FlyQ,Cincinnati,Ginebra,6969,Airbus A320,20011.06536,624
Pam_NuMe_10747,PamPangea,Nueva York,Melbourne,16082,Boeing 747,180074.399648,1272
Tab_NuLo_11320,TabarAir,Nueva York,Londres,5566,Airbus A320,15982.43504,523
Pam_MePa_10747,PamPangea,Melbourne,París,16925,Boeing 747,195142.8128,1328
Pam_MeNu_11380,PamPangea,Melbourne,Nueva York,16082,Airbus A380,203011.44864,1272
Mol_MeCi_10737,MoldaviAir,Melbourne,Cincinnati,15262,Boeing 737,41270.03524800001,1359
Pam_PaGi_11320,PamPangea,París,Ginebra,411,Airbus A320,1093.5066,49
Fly_GiRo_10737,FlyQ,Ginebra,Roma,698,Boeing 737,1763.9856,73
Mol_MeCa_10747,MoldaviAir,Melbourne,Cádiz,20029,Boeing 747,224270.000656,1535
Pam_PaGi_10747,PamPangea,París,Ginebra,411,Boeing 747,4468.885200000001,47
Tab_LoNu_11380,TabarAir,Los Angeles,Nueva York,3944,Airbus A380,47872.272,282
Mol_MePa_10747,MoldaviAir,Melbourne,París,16925,Boeing 747,191390.0664,1328
Air_BaGi_11380,Airnar,Bali,Ginebra,12383,Airbus A380,151736.3288,845
Pam_NuMe_11380,PamPangea,Nueva York,Melbourne,16082,Airbus A380,193344.2368,1272
Air_GiBa_10737,Airnar,Ginebra,Bali,12383,Boeing 737,31607.26077600001,1140
Mol_MeBa_10737,MoldaviAir,Melbourne,Bali,2779,Boeing 737,7090.6185,231
Pam_PaNu_10737,PamPangea,París,Nueva York,5835,Boeing 737,14888.0025,463
Pam_NuMe_10747,PamPangea,Nueva York,Melbourne,16082,Boeing 747,183640.229344,1272
Pam_MeBa_11320,PamPangea,Melbourne,Bali,2779,Airbus A320,7324.054499999999,221
Tab_GiLo_10737,TabarAir,Ginebra,Londres,739,Boeing 737,1885.5585,76
Mol_BaMe_10737,MoldaviAir,Bali,Melbourne,2779,Boeing 737,7360.737300000001,231
Tab_LoRo_11380,TabarAir,Londres,Roma,1433,Airbus A380,16731.1348,115
Mol_MeCa_11380,MoldaviAir,Melbourne,Cádiz,20029,Airbus A380,260060.3815680001,1535
Tab_LoGi_11380,TabarAir,Los Angeles,Ginebra,9103,Airbus A380,111544.5208,626
Tab_LoLo_11320,TabarAir,Los Angeles,Londres,8785,Airbus A320,24766.95312,756
Pam_LoGi_11380,PamPangea,Londres,Ginebra,739,Airbus A380,8542.84,69
Fly_CiRo_11380,FlyQ,Cincinnati,Roma,7480,Airbus A380,89927.55200000001,518
Mol_LoCa_11380,MoldaviAir,Londres,Cádiz,1716,Airbus A380,19836.96,134
Mol_BaMe_10737,MoldaviAir,Bali,Melbourne,2779,Boeing 737,6955.5591,231
Fly_BaRo_11380,FlyQ,Bali,Roma,12738,Airbus A380,161976.408,869
Mol_LoPa_10747,MoldaviAir,Londres,París,344,Boeing 747,3813.7216,42
Mol_LoMe_10737,MoldaviAir,Londres,Melbourne,16900,Boeing 737,46980.64800000001,1483
Air_CiGi_10747,Airnar,Cincinnati,Ginebra,6969,Boeing 747,78746.91240000002,484
Fly_NuRo_11380,FlyQ,Nueva York,Roma,6877,Airbus A380,87447.93200000002,478
Air_BaCi_10737,Airnar,Bali,Cincinnati,15011,Boeing 737,40591.30514400001,1340
Pam_LoMe_11380,PamPangea,Londres,Melbourne,16900,Airbus A380,203178.56,1326
Pam_NuPa_11320,PamPangea,Nueva York,París,5835,Airbus A320,16754.8524,542
Air_LoPa_11380,Airnar,Los Angeles,París,9099,Airbus A380,110443.662,626
Fly_BaNu_11380,FlyQ,Bali,Nueva York,16589,Airbus A380,217389.157024,1305
Mol_CaBa_10747,MoldaviAir,Cádiz,Bali,12798,Boeing 747,156072.12192,1053
Pam_LoNu_11380,PamPangea,Londres,Nueva York,5566,Airbus A380,68203.53760000001,391
Mol_CiCa_10747,MoldaviAir,Cincinnati,Cádiz,6624,Boeing 747,76966.9056,461
Mol_BaLo_11380,MoldaviAir,Bali,Londres,12553,Airbus A380,145112.68,856
Fly_BaGi_10737,FlyQ,Bali,Ginebra,12383,Boeing 737,32233.147128,1140
Pam_MePa_10747,PamPangea,Melbourne,París,16925,Boeing 747,195142.8128,1328
Mol_PaCi_10737,MoldaviAir,París,Cincinnati,6370,Boeing 737,17027.01,503
Pam_GiLo_11380,PamPangea,Ginebra,Londres,739,Airbus A380,8713.6968,69
Mol_MeCa_11380,MoldaviAir,Melbourne,Cádiz,20029,Airbus A380,248020.549088,1535
Tab_GiLo_10737,TabarAir,Ginebra,Londres,739,Boeing 737,1831.6854,76
Fly_BaBa_10747,FlyQ,Bali,Barcelona,13058,Boeing 747,146213.873312,1070
Tab_GiLo_10747,TabarAir,Ginebra,Los Angeles,9103,Boeing 747,98008.3598,626
Fly_BaCi_11320,FlyQ,Barcelona,Cincinnati,6763,Airbus A320,18007.217904,610
Mol_LoCa_11320,MoldaviAir,Londres,Cádiz,1716,Airbus A320,4737.876,144
Tab_LoNu_10737,TabarAir,Londres,Nueva York,5566,Boeing 737,14742.6642,442
Pam_MeLo_10747,PamPangea,Melbourne,Londres,16900,Boeing 747,204222.5744,1326
Tab_GiRo_11380,TabarAir,Ginebra,Roma,698,Airbus A380,8068.88,66
Pam_MeGi_10747,PamPangea,Melbourne,Ginebra,16674,Boeing 747,203340.09696,1311
Fly_NuBa_11380,FlyQ,Nueva York,Bali,16589,Airbus A380,205422.781408,1305
Air_CaCi_10747,Airnar,Cádiz,Cincinnati,6624,Boeing 747,72024.0768,461
Fly_BaBa_11380,FlyQ,Barcelona,Bali,13058,Airbus A380,163268.039168,1070
Tab_LoGi_11320,TabarAir,Los Angeles,Ginebra,9103,Airbus A320,26138.71832,779
Air_GiBa_11380,Airnar,Ginebra,Bali,12383,Airbus A380,151736.3288,845
Tab_LoRo_11380,TabarAir,Londres,Roma,1433,Airbus A380,16731.1348,115
Tab_LoLo_11320,TabarAir,Los Angeles,Londres,8785,Airbus A320,24996.27676,756
Fly_GiNu_10747,FlyQ,Ginebra,Nueva York,6206,Boeing 747,66155.96,433
Mol_PaBa_10747,MoldaviAir,París,Bali,11980,Boeing 747,140477.48,818
Air_PaCa_10747,Airnar,París,Cádiz,1447,Boeing 747,16504.7714,116
Fly_NuGi_11380,FlyQ,Nueva York,Ginebra,6206,Airbus A380,71741.36,433
Tab_LoNu_11380,TabarAir,Los Angeles,Nueva York,3944,Airbus A380,50151.904,282
Air_LoGi_10737,Airnar,Los Angeles,Ginebra,9103,Boeing 737,22783.8987,711
Mol_CaMe_10737,MoldaviAir,Cádiz,Melbourne,20029,Boeing 737,55679.01768000001,1721
Mol_LoPa_10737,MoldaviAir,Londres,París,344,Boeing 737,852.6384,46
Mol_CaCi_10747,MoldaviAir,Cádiz,Cincinnati,6624,Boeing 747,76966.9056,461
Fly_NuRo_11320,FlyQ,Nueva York,Roma,6877,Airbus A320,19567.375672,618
Pam_LoGi_10747,PamPangea,Londres,Ginebra,739,Boeing 747,8429.1818,69
Mol_CaLo_10737,MoldaviAir,Cádiz,Londres,1716,Boeing 737,4461.7716,150
Pam_LoBa_11380,PamPangea,Londres,Bali,12553,Airbus A380,148014.9336,856
Air_PaGi_10747,Airnar,París,Ginebra,411,Boeing 747,4731.760800000001,47
Fly_GiRo_10747,FlyQ,Ginebra,Roma,698,Boeing 747,8110.341200000001,66
Pam_GiMe_11380,PamPangea,Ginebra,Melbourne,16674,Airbus A380,216498.417408,1311
Tab_LoRo_11380,TabarAir,Los Angeles,Roma,10077,Airbus A380,123479.5272,691
Air_BaCi_11380,Airnar,Bali,Cincinnati,15011,Airbus A380,185882.293792,1200
Mol_BaLo_10747,MoldaviAir,Bali,Londres,12553,Boeing 747,136491.2796,856
Pam_BaGi_10747,PamPangea,Bali,Ginebra,12383,Boeing 747,143883.0302,845
Air_CaBa_10737,Airnar,Cádiz,Bali,12798,Boeing 737,34607.12299200001,1171
Pam_NuBa_11380,PamPangea,Nueva York,Bali,16589,Airbus A380,205422.781408,1305
Mol_CaBa_11380,MoldaviAir,Cádiz,Bali,12798,Airbus A380,149424.3288,873
Fly_GiCi_11320,FlyQ,Ginebra,Cincinnati,6969,Airbus A320,18555.715152,624
Pam_LoMe_11380,PamPangea,Londres,Melbourne,16900,Airbus A380,213337.488,1326
Fly_NuBa_10747,FlyQ,Nueva York,Barcelona,6170,Boeing 747,71033.976,431
Air_BaGi_11380,Airnar,Bali,Ginebra,12383,Airbus A380,146010.4296,845
Mol_MeBa_10737,MoldaviAir,Melbourne,Bali,2779,Boeing 737,7225.677900000001,231
Tab_RoNu_10747,TabarAir,Roma,Nueva York,6877,Boeing 747,76241.17280000001,478
Air_LoBa_10737,Airnar,Los Angeles,Bali,12845,Boeing 737,35058.83472000001,1175
Mol_CaBa_11380,MoldaviAir,Cádiz,Bali,12798,Airbus A380,147944.88,873
Mol_BaCi_10737,MoldaviAir,Bali,Cincinnati,15011,Boeing 737,38315.15719200001,1340
Mol_MeCi_10737,MoldaviAir,Melbourne,Cincinnati,15262,Boeing 737,38955.827664,1359
Fly_RoCi_10747,FlyQ,Roma,Cincinnati,7480,Boeing 747,79736.8,518
Air_PaCa_10747,Airnar,París,Cádiz,1447,Boeing 747,15887.7706,116
Mol_CaLo_11320,MoldaviAir,Cádiz,Londres,1716,Airbus A320,4694.8044,144
Mol_CaCi_10737,MoldaviAir,Cádiz,Cincinnati,6624,Boeing 737,16418.2464,523
Mol_PaCi_11320,MoldaviAir,París,Cincinnati,6370,Airbus A320,17459.6604,581
Pam_LoNu_11320,PamPangea,Londres,Nueva York,5566,Airbus A320,14529.4864,523
Fly_CiBa_10747,FlyQ,Cincinnati,Barcelona,6763,Boeing 747,72814.51580000001,470
Pam_MeNu_11380,PamPangea,Melbourne,Nueva York,16082,Airbus A380,199144.563904,1272
Mol_LoCi_10747,MoldaviAir,Londres,Cincinnati,6284,Boeing 747,70336.812,438
Mol_LoCi_10737,MoldaviAir,Londres,Cincinnati,6284,Boeing 737,15728.2236,497
Pam_NuLo_10737,PamPangea,Nueva York,Londres,5566,Boeing 737,13931.1414,442
Tab_NuRo_10747,TabarAir,Nueva York,Roma,6877,Boeing 747,78440.43740000001,478
Pam_GiPa_11320,PamPangea,Ginebra,París,411,Airbus A320,1083.1905,49
Pam_NuBa_10737,PamPangea,Nueva York,Bali,16589,Boeing 737,45277.61846400001,1459
Tab_LoCi_10747,TabarAir,Los Angeles,Cincinnati,3073,Boeing 747,35706.4162,224
Fly_NuBa_10747,FlyQ,Nueva York,Barcelona,6170,Boeing 747,66429.92199999999,431
Tab_LoLo_10747,TabarAir,Londres,Los Angeles,8785,Boeing 747,93648.1,605
Mol_BaLo_11380,MoldaviAir,Bali,Londres,12553,Airbus A380,158172.8212,856
Air_GiPa_11320,Airnar,Ginebra,París,411,Airbus A320,1124.4549,49
Fly_GiBa_10747,FlyQ,Ginebra,Bali,12383,Boeing 747,141242.9746,845
Tab_LoCi_10747,TabarAir,Los Angeles,Cincinnati,3073,Boeing 747,36033.998,224
Tab_GiNu_10737,TabarAir,Ginebra,Nueva York,6206,Boeing 737,15834.609,491
Fly_BaRo_10747,FlyQ,Bali,Roma,12738,Boeing 747,155340.41952,1049
Pam_LoBa_10737,PamPangea,Londres,Bali,12553,Boeing 737,32992.899264,1153
Air_GiCi_10747,Airnar,Ginebra,Cincinnati,6969,Boeing 747,74289.54000000001,484
Air_LoPa_10737,Airnar,Los Angeles,París,9099,Boeing 737,22773.8871,711
Pam_GiBa_10747,PamPangea,Ginebra,Bali,12383,Boeing 747,143883.0302,845
Mol_BaPa_11380,MoldaviAir,Bali,París,11980,Airbus A380,149567.904,818
Tab_GiNu_10737,TabarAir,Ginebra,Nueva York,6206,Boeing 737,16287.0264,491
Fly_GiNu_11320,FlyQ,Ginebra,Nueva York,6206,Airbus A320,17010.14952,569
Mol_BaCi_10747,MoldaviAir,Bali,Cincinnati,15011,Boeing 747,171410.488912,1200
Air_LoCa_10737,Airnar,Los Angeles,Cádiz,9373,Boeing 737,23231.9178,731
Fly_RoGi_10747,FlyQ,Roma,Ginebra,698,Boeing 747,7663.9004,66
Pam_GiNu_11320,PamPangea,Ginebra,Nueva York,6206,Airbus A320,16200.1424,569
Mol_CaMe_11380,MoldaviAir,Cádiz,Melbourne,20029,Airbus A380,264876.3145600001,1535
Fly_CiRo_10747,FlyQ,Cincinnati,Roma,7480,Boeing 747,79736.8,518
Pam_MePa_10737,PamPangea,Melbourne,París,16925,Boeing 737,43200.5886,1485
Fly_BaRo_11380,FlyQ,Bali,Roma,12738,Airbus A380,157558.8696,869
Air_GiLo_10747,Airnar,Ginebra,Los Angeles,9103,Boeing 747,106741.778,626
Tab_LoLo_10737,TabarAir,Los Angeles,Londres,8785,Boeing 737,22841.87850000001,687
Fly_BaGi_11380,FlyQ,Barcelona,Ginebra,660,Airbus A380,7705.896000000001,64
Pam_LoBa_10737,PamPangea,Londres,Bali,12553,Boeing 737,33944.617512,1153
Fly_RoBa_11380,FlyQ,Roma,Barcelona,859,Airbus A380,10724.4432,77
Fly_NuCi_11320,FlyQ,Nueva York,Cincinnati,911,Airbus A320,2286.61,86
Pam_GiLo_11380,PamPangea,Ginebra,Londres,739,Airbus A380,9226.2672,69
Fly_CiRo_10747,FlyQ,Cincinnati,Roma,7480,Boeing 747,82926.27200000001,518
Air_GiCi_10747,Airnar,Ginebra,Cincinnati,6969,Boeing 747,75032.4354,484
Mol_LoCa_11320,MoldaviAir,Londres,Cádiz,1716,Airbus A320,4393.3032,144
Air_GiLo_11320,Airnar,Ginebra,Los Angeles,9103,Airbus A320,24475.345336,779
Mol_BaMe_10737,MoldaviAir,Bali,Melbourne,2779,Boeing 737,7090.6185,231
Tab_CiNu_10737,TabarAir,Cincinnati,Nueva York,911,Boeing 737,2412.9657,89
Tab_RoNu_10747,TabarAir,Roma,Nueva York,6877,Boeing 747,75508.0846,478
Mol_PaBa_11380,MoldaviAir,París,Bali,11980,Airbus A380,138488.8,818
Tab_NuLo_11320,TabarAir,Nueva York,Londres,5566,Airbus A320,15255.96072,523
Tab_LoGi_10747,TabarAir,Los Angeles,Ginebra,9103,Boeing 747,102860.2588,626
Tab_LoGi_11380,TabarAir,Londres,Ginebra,739,Airbus A380,8799.1252,69
Pam_LoNu_10747,PamPangea,Londres,Nueva York,5566,Boeing 747,62300.238,391
Mol_BaLo_10737,MoldaviAir,Bali,Londres,12553,Boeing 737,34579.09634400001,1153
Tab_NuGi_10747,TabarAir,Nueva York,Ginebra,6206,Boeing 747,70786.87720000002,433
Pam_NuMe_10737,PamPangea,Nueva York,Melbourne,16082,Boeing 737,43080.97622400001,1421
Pam_LoPa_10737,PamPangea,Londres,París,344,Boeing 737,877.7160000000001,46
Tab_RoGi_10737,TabarAir,Roma,Ginebra,698,Boeing 737,1797.9084,73
Air_CiPa_11380,Airnar,Cincinnati,París,6370,Airbus A380,78791.804,444
Tab_RoLo_10747,TabarAir,Roma,Londres,1433,Boeing 747,16345.0846,115
Air_BaCa_10747,Airnar,Bali,Cádiz,12798,Boeing 747,146140.259616,1053
Pam_NuBa_10747,PamPangea,Nueva York,Bali,16589,Boeing 747,183912.2896,1305
Fly_CiRo_10747,FlyQ,Cincinnati,Roma,7480,Boeing 747,83723.64,518
Tab_LoRo_10747,TabarAir,Los Angeles,Roma,10077,Boeing 747,116014.4856,691
Pam_PaMe_10747,PamPangea,París,Melbourne,16925,Boeing 747,202648.3056,1328
Fly_NuCi_10737,FlyQ,Nueva York,Cincinnati,911,Boeing 737,2435.103,89
Fly_RoBa_10747,FlyQ,Roma,Bali,12738,Boeing 747,155340.41952,1049
Tab_CiNu_11320,TabarAir,Cincinnati,Nueva York,911,Airbus A320,2515.271,86
Pam_BaMe_11380,PamPangea,Bali,Melbourne,2779,Airbus A380,33410.2496,205
Tab_CiRo_11380,TabarAir,Cincinnati,Roma,7480,Airbus A380,86468.8,518
Fly_GiBa_10747,FlyQ,Ginebra,Bali,12383,Boeing 747,137282.8912,845
Pam_MeBa_11320,PamPangea,Melbourne,Bali,2779,Airbus A320,7114.795799999999,221
Pam_MeGi_10737,PamPangea,Melbourne,Ginebra,16674,Boeing 737,46352.38608000001,1466
Pam_LoBa_10747,PamPangea,Londres,Bali,12553,Boeing 747,133814.98,856
Mol_CiMe_11380,MoldaviAir,Cincinnati,Melbourne,15262,Airbus A380,187155.586176,1217
Pam_MePa_11380,PamPangea,Melbourne,París,16925,Airbus A380,217722.6584,1328
Fly_NuBa_11380,FlyQ,Nueva York,Barcelona,6170,Airbus A380,76317.964,431
Mol_BaCi_10747,MoldaviAir,Bali,Cincinnati,15011,Boeing 747,178067.206928,1200
Mol_CiBa_10737,MoldaviAir,Cincinnati,Bali,15011,Boeing 737,40591.30514400001,1340
Tab_RoCi_10737,TabarAir,Roma,Cincinnati,7480,Boeing 737,19630.512,588
Fly_BaBa_10737,FlyQ,Barcelona,Bali,13058,Boeing 737,35310.19003200001,1191
Air_CaBa_11380,Airnar,Cádiz,Bali,12798,Airbus A380,156821.5728,873
Pam_MeGi_10747,PamPangea,Melbourne,Ginebra,16674,Boeing 747,194097.36528,1311
